Disease	Disease name	# genes in disgenet and network	# genes in network	# genes in total
C1333160	lipoma of corpus callosum	0	0	1
C4024222	abnormality of the epididymis	0	0	2
C1863688	xanthinuria, type ii	0	0	0
C4072877	scalp folds	0	0	2
C4024310	triangular epiphysis of the middle phalanx of the 2nd finger	0	0	1
C1848392	zunich neuroectodermal syndrome	0	0	1
C2749022	chromosome xp11.23-p11.22 duplication syndrome	0	0	1
C3280099	craniofacial anomalies and anterior segment dysgenesis syndrome	0	0	1
C3280094	pigmented nodular adrenocortical disease, primary, 3	0	0	1
C1969084	pontocerebellar hypoplasia type 6	0	0	1
C3888208	spastic paraplegia 41, autosomal dominant	0	0	0
C0043208	wolman disease	0	0	1
C4020835	flared humerus	0	0	0
C1865233	muscular dystrophy, congenital, megaconial type	0	0	1
C4015555	focal segmental glomerulosclerosis 9	0	0	0
C4015552	fibrosis of extraocular muscles, congenital, 5	0	0	0
C0342471	3 beta-hydroxysteroid dehydrogenase deficiency	0	0	1
C0220991	rotor syndrome	0	0	2
C0239849	harlequin fetus	0	0	1
C3714753	retinoschisis 1, x-linked, juvenile	0	0	1
C4022417	degeneration of the striatum	0	0	1
C4225375	mental retardation, autosomal dominant 33	0	0	1
C4225376	senior-loken syndrome 8	0	0	1
C3553264	joubert syndrome 17	0	0	0
C1857277	donnai-barrow syndrome	0	0	0
C3809042	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 13	0	0	1
C4014863	immunodeficiency 27b	0	0	0
C1720779	apolipoprotein c-ii deficiency (disorder)	0	0	1
C1868310	pigmented paravenous chorioretinal atrophy	0	0	1
C3178806	right atrial isomerism	0	0	1
C1844020	heterotaxy, visceral, 1, x-linked	0	0	1
C2681535	hyperpigmentation, familial progressive, 1	0	0	1
C0342195	thyroid dyshormonogenesis 4	0	0	0
C3810354	hyperphosphatasia with mental retardation syndrome 4	0	0	1
C1867782	presacral teratoma	0	0	1
C4022867	spider hemangioma	0	0	0
C1833136	marden walker like syndrome	0	0	1
C2931498	mental retardation, x-linked 1	0	0	1
C1970414	osteogenesis imperfecta, type v	0	0	1
C2675237	deafness, autosomal dominant 3b	0	0	1
C3151059	retinitis pigmentosa 49	0	0	1
C4022693	posteriorly placed anus	0	0	1
C1834144	sick sinus syndrome 2, autosomal dominant	0	0	1
C3809216	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 14	0	0	0
C4023610	abnormality of the intrinsic pathway	0	0	1
C0333497	segmental glomerulosclerosis	0	0	0
C3714927	multiple system atrophy 1, susceptibility to	0	0	1
C4014291	oocyte maturation defect 1	0	0	1
C4014479	culler-jones syndrome	0	0	0
C1846564	spastic paraplegia 7, autosomal recessive	0	0	0
C1854488	spinocerebellar ataxia 13	0	0	1
C4022987	abnormal axonemal organization of respiratory motile cilia	0	0	0
C4022983	abnormal ciliary motility	0	0	2
C0175683	citrullinemia	0	0	0
C3539506	spastic paraplegia 55, autosomal recessive	0	0	0
C3539507	spastic paraplegia 56, autosomal recessive	0	0	1
C1840284	leber congenital amaurosis 11	0	0	0
C4021989	abnormality of the thoracic spine	0	0	1
C1836155	myopathy, myofibrillar, zasp-related	0	0	0
C0205710	alpers syndrome (disorder)	0	0	1
C1847554	ciliary dyskinesia, primary, 2 (disorder)	0	0	1
C0271165	punctate cataract	0	0	0
C2675459	adenylate kinase deficiency, hemolytic anemia due to	0	0	0
C1960539	aromatase deficiency	0	0	1
C1836632	spastic paraplegia 26, autosomal recessive (disorder)	0	0	1
C4023620	blood group antigen abnormality	0	0	2
C1838333	colorectal cancer, hereditary nonpolyposis, type 4	0	0	0
C0796173	spondyloperipheral dysplasia short ulna	0	0	0
C1864567	cataract, posterior polar, 4 (disorder)	0	0	1
C4225355	spinocerebellar ataxia, autosomal recessive 20	0	0	1
C4023558	dentinogenesis imperfecta limited to primary teeth	0	0	1
C3806745	palmoplantar keratoderma, mutilating, with periorificial keratotic plaques, x-linked	0	0	1
C3150099	antley-bixler syndrome with genital anomalies and disordered steroidogenesis	0	0	0
C4025093	cuboidal metacarpal	0	0	1
C1859405	bowen-conradi syndrome	0	0	0
C3553785	weill-marchesani syndrome 3	0	0	1
C3150801	combined oxidative phosphorylation deficiency 7	0	0	0
C1838657	vitamin d hydroxylation-deficient rickets, type 1b	0	0	1
C1838654	nivelon nivelon mabille syndrome	0	0	1
C1855230	focal lissencephaly	0	0	0
C0856727	cholesterol gallstones	0	0	1
C3279793	combined oxidative phosphorylation deficiency 8	0	0	0
C3810138	arrhythmogenic right ventricular dysplasia, familial, 13	0	0	0
C1857587	orstavik lindemann solberg syndrome	0	0	1
C2676786	nephrolithiasis-osteoporosis, hypophosphatemic, 1	0	0	0
C3554195	epileptic encephalopathy, early infantile, 14	0	0	1
C4025798	abnormalities of placenta or umbilical cord	0	0	0
C4025797	abnormality of prenatal development or birth	0	0	1
C4274732	ischio-vertebral syndrome	0	0	1
C3150933	hyperaldosteronism, familial, type iii	0	0	1
C1842914	adult-onset vitelliform macular dystrophy	0	0	3
C0543800	idiopathic hypercalciuria	0	0	1
C0014804	erythromelalgia	0	0	0
C1836797	combined oxidative phosphorylation deficiency 1	0	0	0
C1836824	amish infantile epilepsy syndrome	0	0	1
C3888198	bestrophinopathy, autosomal recessive	0	0	1
C1866688	spondylometaphyseal dysplasia, algerian type	0	0	0
C1845053	amelogenesis imperfecta, hypomaturation type, with snow-capped teeth	0	0	1
C1865019	short qt syndrome 2 (disorder)	0	0	0
C1856972	encephaloclastic proliferative vasculopathy	0	0	1
C0268416	enterokinase deficiency	0	0	1
C0268414	hyperphosphatasemia with bone disease	0	0	1
C4014648	frontotemporal dementia and/or amyotrophic lateral sclerosis 2	0	0	1
C1720958	hyper-igm immunodeficiency syndrome, type 5	0	0	0
C1327918	oculootoradial syndrome	0	0	1
C0266456	meningoencephalocele	0	0	3
C3809004	cataract 19, multiple types	0	0	1
C4085238	myoclonic-atonic epilepsy	0	0	1
C4225339	palmoplantar keratoderma, nonepidermolytic, focal 2	0	0	1
C3552574	hypogonadotropic hypogonadism 6 with or without anosmia	0	0	1
C3808975	hypogonadotropic hypogonadism 18 with or without anosmia	0	0	1
C3553349	coenzyme q10 deficiency, primary, 6	0	0	0
C1263858	muscular dystrophy congenital, merosin negative	0	0	1
C1970456	surfactant metabolism dysfunction, pulmonary, 3	0	0	1
C1854146	deafness, autosomal dominant 39, with dentinogenesis imperfecta 1	0	0	1
C4021559	retinitis pigmentosa inversa	0	0	2
C1840365	king denborough syndrome	0	0	1
C1859726	arterial tortuosity syndrome	0	0	1
C1851536	epiphyseal dysplasia, multiple, with myopia and conductive deafness	0	0	0
C1857941	brooke-spiegler syndrome	0	0	0
C1838180	codas syndrome	0	0	0
C4014690	epiphyseal chondrodysplasia, miura type	0	0	1
C2931187	nephropathic cystinosis	0	0	1
C0016395	focal dermal hypoplasia	0	0	0
C1839580	nystagmus 1, congenital, x- linked	0	0	1
C1843042	craniolenticulosutural dysplasia	0	0	0
C1300202	diaphyseal medullary stenosis with bone malignancy	0	0	0
C4024790	adult-onset night blindness	0	0	2
C2677500	oculoauricular syndrome	0	0	1
C3203738	fowler syndrome	0	0	1
C1853392	interleukin 2 receptor, alpha, deficiency of	0	0	1
C3150912	cone-rod dystrophy 15	0	0	1
C3150913	congenital disorder of glycosylation, type ip	0	0	1
C2931006	congenital disorder of glycosylation type 1l	0	0	0
C4280445	abnormality of alveolar processes of jaw	0	0	1
C4025117	metacarpophalangeal synostosis	0	0	2
C2675487	mental retardation, autosomal dominant 4	0	0	0
C1306589	congenital dyserythropoietic anemia, type ii	0	0	0
C3151204	cardiomyopathy, familial hypertrophic, 16	0	0	0
C3538946	deafness, autosomal recessive 4, with enlarged vestibular aqueduct	0	0	2
C0796135	renpenning syndrome 1	0	0	1
C3280887	hyperglycinemia, lactic acidosis, and seizures	0	0	0
C0685682	single naris	0	0	1
C0035528	riboflavin deficiency	0	0	0
C1839028	mitochondrial myopathy with diabetes	0	0	0
C1839022	striatonigral degeneration, infantile, mitochondrial	0	0	0
C4225310	microcephaly 15, primary, autosomal recessive	0	0	1
C0751161	udpglucose 4-epimerase deficiency disease	0	0	0
C3806702	charcot-marie-tooth disease, x-linked dominant, 6	0	0	1
C3281288	preeclampsia/eclampsia 5	0	0	1
C0238044	cardiomyopathy, concentric hypertrophic	0	0	0
C3151404	amyloidosis, primary localized cutaneous, 2	0	0	1
C4011949	immunodeficiency 27a	0	0	0
C0175707	asplenia syndrome	0	0	1
C0175701	aarskog syndrome	0	0	1
C1833736	osteogenesis imperfecta, levin type	0	0	1
C3150691	retinitis pigmentosa 54	0	0	0
C0432347	uncombable hair syndrome	0	0	2
C1858477	epilepsy, partial, with variable foci	0	0	0
C1849792	achromatopsia 3	0	0	1
C3150975	hirschsprung disease, susceptibility to, 4	0	0	1
C3150972	neuropathy, hereditary sensory, type id	0	0	1
C3150973	thiamine metabolism dysfunction syndrome 4 (bilateral striatal degeneration and progressive polyneuropathy type)	0	0	1
C1832708	multiple synostoses syndrome 2	0	0	1
C2751308	cone dystrophy 4 (disorder)	0	0	1
C2751306	polycystic kidney disease, type 2	0	0	0
C0266316	congenital hydronephrosis	0	0	1
C1970027	hypertelorism, severe, with midface prominence, myopia, mental retardation, and bone fragility	0	0	1
C2750433	bifid nose with or without anorectal and renal anomalies	0	0	0
C3150596	mononeuropathy of the median nerve, mild	0	0	1
C1847532	myopathy, distal, with anterior tibial onset	0	0	1
C0017097	gardner syndrome	0	0	0
C1096274	corneal thinning	0	0	1
C2931228	vacterl association, x-linked, with or without hydrocephalus	0	0	1
C3151752	nystagmus 6, congenital, x-linked	0	0	1
C1855607	keutel syndrome	0	0	1
C3810326	spinocerebellar ataxia, autosomal recessive 15	0	0	0
C3151343	spinocerebellar ataxia 32	0	0	0
C4021455	enlarged epiphysis of the proximal phalanx of the 2nd finger	0	0	1
C0796113	nephroblastomatosis, fetal ascites, macrosomia and wilms tumor	0	0	0
C1839040	leber optic atrophy and dystonia	0	0	0
C4225199	muscular dystrophy, limb-girdle, type 2x	0	0	0
C4225195	microcephaly, short stature, and impaired glucose metabolism 2	0	0	0
C4225190	congenital disorder of glycosylation, type iip	0	0	1
C4225191	congenital disorder of glycosylation, type iio	0	0	1
C4225193	corpus callosum, agenesis of, with facial anomalies and cerebellar ataxia	0	0	0
C4014578	amelogenesis imperfecta, hypomaturation type, iia5	0	0	0
C1836683	czech dysplasia, metatarsal type	0	0	0
C1854989	molybdenum cofactor deficiency, complementation group b	0	0	0
C3553625	facial paresis, hereditary congenital, 3	0	0	1
C0018609	hartnup disease	0	0	1
C1393871	congenital finger contractures	0	0	1
C0033770	prune belly syndrome	0	0	1
C4021488	enlarged epiphysis of the proximal phalanx of the 3rd finger	0	0	1
C4021480	pseudoepiphyses of the 3rd finger	0	0	1
C4021487	triangular epiphysis of the proximal phalanx of the 3rd finger	0	0	1
C1856127	bile acid synthesis defect, congenital, 2	0	0	1
C3810406	mental retardation, autosomal dominant 23	0	0	0
C3810404	carbonic anhydrase va deficiency, hyperammonemia due to	0	0	1
C3810403	moyamoya disease 6 with achalasia	0	0	0
C0220702	schizophrenia 1 (disorder)	0	0	0
C0220701	retinitis pigmentosa 1	0	0	1
C1839728	metacarpal 4-5 fusion	0	0	1
C3887959	mental retardation, x-linked 49	0	0	1
C3554021	hypogonadotropic hypogonadism 16 with or without anosmia	0	0	1
C1835887	diabetes mellitus, transient neonatal, 2 (disorder)	0	0	1
C2751325	46,xy gonadal dysgenesis, partial, with minifascicular neuropathy	0	0	1
C1832099	wilms tumor and radial bilateral aplasia	0	0	1
C2680446	spastic paraplegia 43, autosomal recessive	0	0	0
C2750457	waardenburg syndrome, type 4b	0	0	1
C2750450	corneal dystrophy, fuchs endothelial, 4	0	0	1
C1859570	bardet-biedl syndrome 12	0	0	1
C4021906	splayed epiphyses	0	0	0
C1864870	night blindness, congenital stationary, autosomal dominant 3	0	0	1
C3494506	pseudohypoparathyroidism, type ia	0	0	0
C1843264	dystonia 13, torsion	0	0	0
C1868675	parkinson disease 2, autosomal recessive juvenile	0	0	0
C2931753	achromatopsia incomplete, x-linked	0	0	0
C4072868	paravenous chorioretinal atrophy	0	0	1
C3151186	nephronophthisis 12	0	0	1
C3810343	sacral agenesis with vertebral anomalies	0	0	1
C4014557	myopathy, tubular aggregate, 2	0	0	1
C1842691	diaphanospondylodysostosis	0	0	1
C1857512	temtamy syndrome	0	0	0
C4025368	pseudoepiphyses of hand bones	0	0	1
C0042582	vesicovaginal fistula	0	0	0
C3808844	osteogenesis imperfecta, type xv	0	0	1
C3539916	myoclonus, familial cortical	0	0	0
C1837471	cardiomyopathy, familial hypertrophic, 8	0	0	0
C1865643	cholestasis, progressive familial intrahepatic 3	0	0	0
C2675184	exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarial hyperostosis	0	0	1
C1855109	methylmalonic aciduria cbla type	0	0	0
C3715164	leber congenital amaurosis 17	0	0	1
C1851481	erythrokeratodermia with ataxia	0	0	0
C3891556	chromosome xq26.3 duplication syndrome	0	0	1
C0796095	opitz trigonocephaly syndrome	0	0	1
C4014762	myopia 24, autosomal dominant	0	0	1
C4014767	hyperlipoproteinemia, type id	0	0	1
C3489627	stuttering, familial persistent 1	0	0	0
C3810285	myopathy with extrapyramidal signs	0	0	1
C3887938	colorblindness, partial, deutan series	0	0	0
C3554047	ventricular tachycardia, catecholaminergic polymorphic, 4	0	0	0
C0155912	pulmonary alveolar microlithiasis	0	0	1
C4024772	abnormal flash visual evoked potentials	0	0	1
C1846059	roifman syndrome	0	0	0
C4024776	reticular retinal dystrophy	0	0	1
C3809672	mental retardation, autosomal recessive 37	0	0	0
C4024806	irido-fundal coloboma	0	0	1
C2750473	thyrotoxic periodic paralysis, susceptibility to, 2	0	0	1
C2931840	aspartylglucosamidase (aga) deficiency	0	0	1
C0262988	vasculitis of the skin	0	0	0
C0399378	dentinogenesis imperfecta - shield's type iii (disorder)	0	0	1
C2677587	cataract, juvenile, with microcornea and glucosuria	0	0	1
C1864850	arrhythmogenic right ventricular dysplasia, familial, 11	0	0	0
C4015371	macular dystrophy with central cone involvement	0	0	1
C3554182	combined oxidative phosphorylation deficiency 15	0	0	1
C4021599	flat distal femoral epiphysis	0	0	1
C1846421	lathosterolosis	0	0	1
C3809882	neuropathy, hereditary sensory and autonomic, type vii	0	0	1
C1832978	deafness, autosomal recessive 7	0	0	1
C3808820	hepatitis, chronic, due to cryptosporidium infection	0	0	1
C4014803	acth-independent macronodular adrenal hyperplasia 2	0	0	0
C1837454	spinocerebellar ataxia 8	0	0	0
C4020713	penile melanosis	0	0	2
C0265363	urethral obstruction sequence	0	0	1
C3553989	spinal muscular atrophy, distal, autosomal recessive, 5	0	0	0
C1850442	ceroid lipofuscinosis, neuronal, 5	0	0	1
C0948216	ovarian adenocarcinoma	0	0	1
C0220748	cartilage-hair hypoplasia	0	0	0
C0220744	multiple gastrointestinal atresias (disorder)	0	0	0
C2931013	cystinosis, benign, nonnephropathic	0	0	1
C0399379	dentin dysplasia, type 1	0	0	2
C2677589	spinocerebellar ataxia, autosomal recessive 9	0	0	0
C3810001	combined oxidative phosphorylation deficiency 18	0	0	1
C4015038	myasthenic syndrome, congenital, 7, presynaptic	0	0	0
C4024710	cerebellar cortical atrophy	0	0	1
C1857855	spastic paraplegia 29, autosomal dominant	0	0	0
C3554355	ichthyosis, congenital, autosomal recessive 10	0	0	1
C0342687	dopamine beta hydroxylase deficiency	0	0	1
C1861689	klippel-feil syndrome, autosomal dominant	0	0	1
C1859567	bardet-biedl syndrome 9	0	0	1
C1112433	thromboembolic stroke	0	0	0
C0221021	microangiopathic hemolytic anemia	0	0	1
C1835044	melanoma, cutaneous malignant, 2	0	0	0
C4023332	abnormality of corneal endothelium	0	0	1
C4225287	retinitis pigmentosa 73	0	0	1
C1852529	corticosteroid-binding globulin deficiency	0	0	1
C3554306	epilepsy, nocturnal frontal lobe, 5	0	0	1
C0205929	anal fistula	0	0	1
C2936739	hyper-immunoglobulin e syndrome, autosomal dominant	0	0	0
C1836033	cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome	0	0	0
C2675746	craniodiaphyseal dysplasia, autosomal dominant (disorder)	0	0	1
C3715216	retinitis pigmentosa 66	0	0	1
C0025221	meleda disease	0	0	1
C1850318	omodysplasia type 1	0	0	1
C1832244	cardiomyopathy, dilated, 1c (disorder)	0	0	0
C1291299	deficiency of iodide peroxidase (disorder)	0	0	0
C3280041	retinitis pigmentosa 61	0	0	1
C1849718	popliteal pterygium syndrome, lethal type	0	0	0
C1839780	fragile x tremor/ataxia syndrome	0	0	0
C1840529	holoprosencephaly 3	0	0	0
C2931216	tetra-amelia autosomal recessive	0	0	1
C1859690	camptodactyly-arthropathy-coxa vara-pericarditis syndrome	0	0	1
C3151221	transposition of the great arteries, dextro-looped 3	0	0	1
C3151226	immunodeficiency due to ficolin 3 deficiency	0	0	1
C0410539	craniodiaphyseal dysplasia	0	0	1
C2678045	toe syndactyly, telecanthus, and anogenital and renal malformations	0	0	0
C1846367	spinocerebellar ataxia 19	0	0	1
C1835437	platyspondylic lethal skeletal dysplasia, torrance type	0	0	0
C2930971	acroosteolysis dominant type	0	0	0
C2930970	acromesomelic dysplasia hunter-thompson type	0	0	1
C1836199	deafness, autosomal recessive 48	0	0	1
C1836206	syndactyly, mesoaxial synostotic, with phalangeal reduction	0	0	1
C1854065	late-onset retinal degeneration (disorder)	0	0	1
C1834207	ceroid lipofuscinosis, neuronal, parry type	0	0	0
C1578482	valgus deformities of feet	0	0	1
C1838062	epilepsy, lateral temporal lobe, autosomal dominant	0	0	2
C1864818	deafness, autosomal recessive 42 (disorder)	0	0	1
C1865366	deafness, autosomal dominant 15	0	0	1
C1970859	atypical mycobacteriosis, familial, x-linked 2	0	0	1
C0266941	derangement of temporomandibular joint	0	0	1
C1846171	lissencephaly, x-linked, 2	0	0	1
C0265766	congenital atresia of trachea	0	0	1
C3280598	short-rib thoracic dysplasia 5 with or without polydactyly	0	0	1
C3553330	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 7	0	0	0
C1857572	corneal dystrophy and perceptive deafness	0	0	1
C1857574	cornea plana 2	0	0	1
C0282492	sneddon syndrome	0	0	0
C0334041	osteoma cutis	0	0	0
C4025254	absent styloid process of ulna	0	0	0
C4025257	shortening of all phalanges of the toes	0	0	0
C1275122	familial multiple trichoepitheliomata	0	0	0
C3150678	oguchi disease 2	0	0	0
C3150674	chromosome 15q24 deletion syndrome	0	0	0
C3280062	leber congenital amaurosis 16	0	0	1
C3553944	usher syndrome, type ij	0	0	1
C4021157	generalized abnormality of skin	0	0	0
C1857747	neurodegeneration with brain iron accumulation 2 (disorder)	0	0	1
C3810225	mental retardation, autosomal recessive 41	0	0	0
C1857744	deafness, autosomal recessive 59	0	0	0
C3151202	leber congenital amaurosis 8	0	0	1
C3151206	leber congenital amaurosis 15	0	0	1
C4023122	hypersegmentation of proximal phalanx of third finger	0	0	1
C3809309	charcot-marie-tooth disease, recessive intermediate c	0	0	1
C2677897	spastic paraplegia 34, x-linked (disorder)	0	0	0
C1868072	small intestine carcinoid	0	0	0
C3469186	hemochromatosis, type 1	0	0	1
C1853247	spastic paraplegia 31, autosomal dominant	0	0	1
C1846343	bartter syndrome, type 3	0	0	1
C0524582	mulibrey nanism	0	0	0
C1833477	colorectal cancer, hereditary nonpolyposis, type 5	0	0	0
C2675336	duplication 15q11-q13 syndrome	0	0	0
